#,current_filename,format,dimensions,orientation,estimated_quality,subject,people_identifiable,number_plate_visible,children_visible,duplicate_or_similar,suitable_for_website,potential_use,edits_required_later,consent_or_copyright_concern,recommended_filename,recommended_folder
0,273551012_4743512335717025_7138461409388116319_n (1).jpg,JPEG,480x480,square,Low (Facebook thumbnail ~414px),"EzeeFin logo, red 'e' mark + 'any car · any bank · any place' strap",N,N,N,"1 (same art, smaller)","Yes, small use only — re-source original",Interim logo until vector supplied,Re-source vector original; transparent background,None noted,logo-ezeefin-primary-01.jpg,public/assets/brand/
1,273551012_4743512335717025_7138461409388116319_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),EzeeFin logo (smaller duplicate of #0),N,N,N,0,No — duplicate/low quality,None — duplicate,—,None noted,logo-ezeefin-primary-02-duplicate.jpg,public/assets/archive/
2,479908717_1191079256355671_8888400325121399253_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Group of four at dealership handover beside teal Renault,Y,N,N,similar to 4,"Yes, small use only — re-source original",Social-proof gallery (with consent),Consent; light colour correction,Customer photo consent required (POPIA),vehicle-delivery-renault-group-01.jpg,public/assets/deliveries/
3,480010433_1191079243022339_6328053706917880093_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Covered vehicle with large red bow, pre-reveal, showroom",N,N,N,,"Yes, small use only — re-source original",Hero/'how it works' reveal motif,Upscale or re-shoot; crop,None noted,vehicle-reveal-covered-01.jpg,public/assets/hero/
4,480155582_1191079096355687_5663396537308231097_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Same handover group as #2, wider angle",Y,N,N,similar to 2,"Yes, small use only — re-source original",Social-proof gallery (with consent),Consent,Customer photo consent required (POPIA),vehicle-delivery-renault-group-02.jpg,public/assets/deliveries/
5,480206731_1191079233022340_3543857058781148051_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Teal Renault Kiger with red bow, front three-quarter",N,N,N,,"Yes, small use only — re-source original",Service page imagery,Crop banner edge,None noted,vehicle-delivery-renault-kiger-01.jpg,public/assets/vehicles/
6,480221396_1191079186355678_1892574062353263317_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Teal Renault Kiger rear three-quarter,N,N,N,,"Yes, small use only — re-source original",Service page imagery,—,None noted,vehicle-delivery-renault-kiger-02.jpg,public/assets/vehicles/
7,480770152_9235499403184940_8291065950779587764_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Consultant congratulating elderly customer, white Ford Ranger, EzeeFin 10 banner",Y,N,N,similar to 8/20,"Yes, small use only — re-source original",Trust/testimonial imagery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-bakkie-01.jpg,public/assets/deliveries/
8,480775413_9235499523184928_4445518209083353751_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Same customer/consultant pair as #7, handshake at bonnet",Y,N,N,similar to 7,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-bakkie-02.jpg,public/assets/deliveries/
9,480942460_9233312906736923_2876809676917329728_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Young woman with gift beside covered car with red bow,Y,N,N,,"Yes, small use only — re-source original",Reveal-moment imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-hatchback-01.jpg,public/assets/deliveries/
10,480975900_9242976505770563_546085739953556835_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handover handshake beside white Audi, woman customer with hamper",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-audi-01.jpg,public/assets/deliveries/
11,480984046_9234014490000098_818978918906923514_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Masked handover, crossover with visible KZN number plate, EzeeFin banner",Y,Y,N,,"Yes, small use only — re-source original",Gallery only after plate blur + consent,Blur plate; consent,Customer photo consent required (POPIA); Number plate legible — blur before use,customer-handover-crossover-01.jpg,public/assets/deliveries/
12,481008952_9222074954527385_430136488994998327_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"EzeeFin logo, alternate render on white",N,N,N,near-dup of 0/79,"Yes, small use only — re-source original",Logo reference,Re-source vector,None noted,logo-ezeefin-primary-03.jpg,public/assets/brand/
13,481078114_9242976525770561_4386164873255474665_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 front grille close-up,N,N,N,,"Yes, small use only — re-source original",Premium-sourcing imagery,—,None noted,vehicle-sourcing-audi-q3-01.jpg,public/assets/vehicles/
14,481096661_9242976392437241_1056473891012646284_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 rear three-quarter,N,N,N,,"Yes, small use only — re-source original",Premium-sourcing imagery,—,None noted,vehicle-sourcing-audi-q3-02.jpg,public/assets/vehicles/
15,481107177_9264035783664635_1590261485064341060_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Customer beside white VW Polo sedan with blue bow,Y,P,N,,"Yes, small use only — re-source original",Gallery (with consent),Check/blur plate; consent,Customer photo consent required (POPIA); Possible plate visibility — verify,customer-handover-sedan-01.jpg,public/assets/deliveries/
16,481163217_9242976819103865_8945125171583558935_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 with red bow across bonnet,N,N,N,,"Yes, small use only — re-source original",Hero candidate motif,Upscale/re-shoot,None noted,vehicle-delivery-audi-q3-bow-01.jpg,public/assets/vehicles/
17,481193450_9264035780331302_3360812397854147388_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handshake, VW Polo Vivo with blue bow",Y,N,N,similar to 18,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-vivo-01.jpg,public/assets/deliveries/
18,481213706_9264035986997948_5021931065011112011_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Customer celebrating arms raised, VW Polo Vivo, blue bow",Y,N,N,similar to 17,"Yes, small use only — re-source original",Joy/celebration imagery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-vivo-02.jpg,public/assets/deliveries/
19,481295385_9242976772437203_1277173700472099205_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Handover to woman customer beside black Audi,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-audi-02.jpg,public/assets/deliveries/
20,481358463_9235499416518272_7796139448389792675_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Masked handshake handover, white Ford Ranger, EzeeFin banner",Y,N,N,similar to 7/8,"Yes, small use only — re-source original",Gallery — masks date it (COVID era),Consent; consider archive,Customer photo consent required (POPIA),customer-handover-bakkie-03.jpg,public/assets/archive/
21,481775601_9233312903403590_6405244528311554727_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Woman with keys and gift, white VW Polo, red ribbon, plate 'JRD…' visible",Y,Y,N,,"Yes, small use only — re-source original",Gallery only after plate blur + consent,Blur plate; consent,Customer photo consent required (POPIA); Number plate legible — blur before use,customer-handover-polo-01.jpg,public/assets/deliveries/
22,481916441_9242976682437212_1843741193017104518_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White VW with red bow cushion on bonnet, dealership forecourt",N,P,N,,"Yes, small use only — re-source original",Service imagery,Check/blur plate,Possible plate visibility — verify,vehicle-delivery-vw-suv-01.jpg,public/assets/vehicles/
23,481919136_9234014603333420_357374099962971882_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handover with purple ribbon, EzeeFin banner, plate partially visible",Y,P,N,,"Yes, small use only — re-source original",Gallery (with consent),Blur plate; consent,Customer photo consent required (POPIA); Possible plate visibility — verify,customer-handover-crossover-02.jpg,public/assets/deliveries/
24,482980466_9335157406552472_1829423982911498821_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Woman with flowers beside covered car with red bow,Y,N,N,,"Yes, small use only — re-source original",Reveal imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-suv-01.jpg,public/assets/deliveries/
